"Suburb","Population"
"Malvern (SA)",2577
"Mannanarie",205
"Manningham",1295
"Mannum",2567
"Manoora (SA)",253
"Mansfield Park",3354
"Marama",161
"Marananga",364
"Marden",2342
"Marino",2002
"Marion",3760
"Marion Bay (SA)",241
"Marks Landing",222
"Marleston",1669
"Marrabel",147
"Marree",634
"Marryatville",602
"Maslin Beach",1131
"Mawson Lakes",10872
"Maylands (SA)",1506
"McCracken",2055
"McLaren Flat",1310
"McLaren Vale",3861
"Meadows",1225
"Medindie",1127
"Medindie Gardens",335
"Melrose (SA)",406
"Melrose Park (SA)",2135
"Meningie",1501
"Menzies (SA)",259
"Middleton (SA)",1074
"Mil-Lel",335
"Milang",883
"Mile End",4413
"Mile End South",0
"Millicent",5024
"Millswood",2042
"Mingbool",239
"Minlaton",1261
"Minnipa",356
"Mintaro",370
"Miranda (SA)",47
"Mitcham (SA)",1785
"Mitchell Park (SA)",5207
"Moana",2625
"Moculta",384
"Modbury",4924
"Modbury Heights",5400
"Modbury North",5554
"Monarto",469
"Monarto South",348
"Monash (SA)",1156
"Montacute",445
"Moonta",681
"Moonta Bay",1978
"Moonta Mines",348
"Moorak",955
"Moorook South",118
"Moppa",260
"Morgan",611
"Morphett Vale",22602
"Morphettville",2893
"Mount Barker (SA)",11809
"Mount Barker Springs",341
"Mount Burr",377
"Mount Compass",1731
"Mount Crawford",370
"Mount Gambier",24905
"Mount George (SA)",272
"Mount Osmond",497
"Mount Pleasant (SA)",959
"Mount Schank",317
"Mount Torrens",638
"Mullaquana",252
"Mundulla",675
"Munno Para",1694
"Munno Para Downs",199
"Munno Para West",4319
"Murray Bridge",13892
"Murray Bridge East",1247
"Murtho",419
"Mylor",1163
"Mypolonga",771
"Myponga",595
"Myrtle Bank (SA)",2940
"Nailsworth",2101
"Nairne",4417
"Nangwarry",514
"Napperby",633
"Naracoorte",5691
"Narrung (SA)",407
"Nelshaby",171
"Nene Valley",183
"Nepabunna",68
"Nepean Bay",560
"Netherby (SA)",1417
"Netley",1738
"New Port",897
"New Residence",113
"New Town (SA)",1174
"Newton",4665
"Ngarkat",0
"Nildottie",343
"Ninnes",204
"Noarlunga Centre",106
"Noarlunga Downs",3383
"Nora Creina",380
"Normanville (SA)",1356
"North Adelaide",6678
"North Beach (SA)",403
"North Brighton",2153
"North Haven (SA)",5798
"North Moonta",547
"North Plympton",3007
"North Shields",503
"Northern Heights",329
"Northfield",3860
"Northgate (SA)",3578
"Norton Summit",536
"Norwood (SA)",5802
"Novar Gardens",2325
"Nuriootpa",5704
"O'Halloran Hill",2542
"O'Sullivan Beach",1934
"Oakbank",923
"Oakden",3665
"Oaklands Park",3289
"Ob Flat",630
"Old Calperum",6
"Old Noarlunga",1249
"Old Reynella",3301
"Olympic Dam",18
"One Tree Hill",1003
"Onkaparinga Hills",2534
"Oodnadatta",166
"Orroroo",540
"Osborne (SA)",1840
"Ottoway",2419
"Outer Harbor",24
"Ovingham",703
"Owen",634
"Padthaway",456
"Paechtown",210
"Paisley",411
"Palmer (SA)",74
"Panorama",2258
"Para Hills",7594
"Para Hills West",3162
"Para Vista",2928
"Paracombe",343
"Paradise (SA)",6557
"Parafield",77
"Parafield Gardens",15317
"Paralowie",15872
"Parham",199
"Parilla",412
"Paringa",915
"Paris Creek",186
"Park Holme",2732
"Parkside (SA)",4634
"Parndana",142
"Parrakie",270
"Paruna",198
"Pasadena",2893
"Paskeville",86
"Payneham",2220
"Payneham South",1545
"Peake",213
"Pekina",302
"Penfield",562
"Penfield Gardens",273
"Penneshaw",276
"Pennington",3649
"Penola",1707
"Penong",343
"Penrice",337
"Perlubie",463
"Peterborough (SA)",1486
"Peterhead",1144
"Piccadilly (SA)",368
"Pinks Beach",187
"Pinnaroo",558
"Plympton",4509
"Plympton Park",2869
"Point Lowly",299
"Point Pearce",118
"Point Turton",246
"Pooraka",7058
"Port Adelaide",1293
"Port Augusta",7336
"Port Augusta West",4153
"Port Broughton",1424
"Port Elliot",1967
"Port Flinders",225
"Port Germein",295
"Port Hughes",456
"Port Lincoln",14088
"Port Macdonnell",1036
"Port Mannum",209
"Port Moorowie",159
"Port Neill",136
"Port Noarlunga",2632
"Port Noarlunga South",2622
"Port Paterson",56
"Port Pirie",241
"Port Pirie South",3744
"Port Pirie West",2774
"Port Victoria",316
"Port Vincent",490
"Port Wakefield",556
"Port Willunga",1673
"Price",470
"Prospect (SA)",13008
"Prospect Hill",341
"Punyelroo",229
"Queenstown (SA)",1806
"Quorn",1206
"Redbanks",375
"Redhill",379
"Redwood Park",5368
"Regency Park",177
"Renmark",4387
"Renmark North",621
"Renmark South",636
"Renmark West",1326
"Renown Park",1589
"Reynella",4461
"Reynella East",2020
"Richmond (SA)",3071
"Ridgehaven",3880
"Ridleyton",1071
"Risdon Park",4026
"Risdon Park South",1975
"Riverglades",918
"Riverton (SA)",1213
"Robe",1018
"Robertstown",336
"Rocky Camp",254
"Rose Park",1397
"Rosewater",3338
"Roseworthy",1216
"Rosslyn Park",1460
"Rostrevor",7366
"Roxby Downs",4702
"Royal Park",2864
"Royston Park",1189
"Rudall",260
"Saddleworth",391
"Salisbury (SA)",7551
"Salisbury Downs",5258
"Salisbury East",8848
"Salisbury Heights",5055
"Salisbury North",9277
"Salisbury Park",2070
"Salisbury Plain",1166
"Salisbury South",0
"Sandy Creek (SA)",439
"Scott Creek",214
"Seacliff",1954
"Seacliff Park",2305
"Seacombe Gardens",2551
"Seacombe Heights",1507
"Seaford (SA)",4269
"Seaford Meadows",1652
"Seaford Rise",5381
"Seaton (SA)",9845
"Seaview Downs",2675
"Sefton Park",1168
"Sellicks Beach",2339
"Sellicks Hill",225
"Semaphore",2826
"Semaphore Park",4225
"Semaphore South",984
"Sevenhill",383
"Shea-Oak Log",175
"Sheidow Park",6275
"Sherwood (SA)",556
"Skye (SA)",292
"Smithfield (SA)",2094
"Smithfield Plains",2278
"Smoky Bay",195
"Snowtown",617
"Solomontown",1064
"Somerton Park",5388
"South Brighton",2419
"South Plympton",3984
"Southend",248
"Spalding (SA)",382
"Springfield (SA)",525
"Springton",607
"St Agnes (SA)",4069
"St Georges",1423
"St Marys (SA)",2695
"St Morris",1463
"St Peters (SA)",3202
"Stanley Flat",300
"Stansbury",543
"Stepney",855
"Stirling (SA)",2947
"Stirling North",1940
"Stockport",225
"Stockwell",464
"Stonyfell",1205
"Strathalbyn (SA)",5906
"Streaky Bay",1625
"Sturt (SA)",2293
"Summertown",696
"Sunlands",577
"Sunnyside (SA)",545
"Surrey Downs",3269
"Suttontown",500
"Swanport",327
"Tailem Bend",1802
"Taldra",48
"Tantanoola",524
"Tanunda",4672
"Taperoo",3123
"Taplan",114
"Tarlee",310
"Tarpeena",354
"Tatachilla",201
"Taylorville",334
"Tea Tree Gully",3124
"Tennyson (SA)",1112
"Teringie",784
"Terowie",229
"Thebarton",1322
"Thevenard",581
"Thompson Beach",334
"Tickera",314
"Tiddy Widdy Beach",193
"Tintinara",276
"Tooperang",377
"Toorak Gardens",2493
"Torrens Park",2559
"Torrensville",3867
"Tranmere (SA)",3615
"Trinity Gardens",1182
"Trott Park",2957
"Truro",636
"Tulka",171
"Tumby Bay",1827
"Tungkillo",599
"Tusmore",1328
"Two Wells",2293
"Uleybury",225
"Underdale",2251
"Ungarra",305
"Unley",3889
"Unley Park",1402
"Upper Hermitage",309
"Upper Sturt",1005
"Uraidla",547
"Urrbrae",971
"Vale Park",2158
"Valley View",5986
"Venus Bay (SA)",322
"Verdun",662
"Victor Harbor",4123
"Virginia (SA)",1748
"Vista",982
"Vivonne Bay",407
"Waikerie",2715
"Waitpinga",222
"Walker Flat",302
"Walkerville (SA)",2354
"Walkley Heights",3507
"Wallaroo (SA)",3227
"Wallaroo Mines",408
"Wallaroo Plain",39
"Wami Kata",173
"Wanbi",229
"Wandearah East",189
"Wandilo",268
"Wangary",457
"Warburto",228
"Warnertown",364
"Warooka",198
"Warradale",4722
"Warramboo",300
"Wasleys",888
"Waterloo (SA)",200
"Waterloo Corner",1157
"Watervale",451
"Wattle Park",1835
"Wattle Range",193
"Wauraltee",266
"Wayville",1734
"Welland",835
"Wellington (SA)",169
"Wellington East",129
"West Beach (SA)",4480
"West Croydon",4063
"West Hindmarsh",1573
"West Lakes",5730
"West Lakes Shore",2973
"West Richmond",922
"Westbourne Park",2482
"Western Flat",211
"Whites Valley",273
"Whitwarta",276
"Whyalla",3733
"Whyalla Jenkins",1390
"Whyalla Norrie",6712
"Whyalla Playford",2764
"Whyalla Stuart",7139
"Wild Dog Valley (SA)",533
"Willalooka",273
"Willaston",3294
"Williamstown (SA)",2646
"Willunga",2416
"Willunga Hill",404
"Willunga South",370
"Willyaroo",362
"Wilmington",815
"Windsor (SA)",347
"Windsor Gardens",4829
"Wingfield",470
"Winkie",347
"Wirrabara",522
"Wirrina Cove",497
"Wistow",287
"Wolseley",277
"Woodchester",414
"Woodcroft (SA)",10852
"Woodforde",603
"Woodleigh (SA)",56
"Woods Point (SA)",565
"Woodside (SA)",2784
"Woodville (SA)",2207
"Woodville Gardens",2383
"Woodville North",2308
"Woodville Park",1717
"Woodville South",2956
"Woodville West",2848
"Wool Bay",608
"Woomera",216
"Worrolong",715
"Wudinna",557
"Wunkar",269
"Wynn Vale",8001
"Yacka",226
"Yahl",659
"Yalata",293
"Yankalilla",1018
"Yatala Vale",326
"Yattalunga (SA)",321
"Yeelanna",230
"Yongala",243
"Yorketown",680
"Younghusband",279
"Yumali",392
"Yunta",492
"Unclassified (SA)",2627
"No Usual Address (SA)",3068
"Migratory - Offshore - Shipping (SA)",5
"Abbey",1024
"Acton Park (WA)",257
"Ajana",208
"Albany",1462
"Alexander Heights",7695
"Alfred Cove",2305
"Allanson",605
"Ambergate",337
"Amelup",186
"Anketell",256
"Applecross",6579
"Ardross",4049
"Argyle (WA)",526
"Armadale (WA)",12853
"Arrowsmith East",227
"Arthur River (WA)",381
"Ascot (WA)",2268
"Ashby (WA)",2394
"Ashfield (WA)",1256
"Attadale",6060
"Atwell",8646
"Aubin Grove",4153
"Augusta",1292
"Australind",11954
"Aveley",4474
"Avon Valley National Park",0
"Badgingarra",333
"Bakers Hill",1147
"Balcatta",9991
"Baldivis",15883
"Balga",10701
"Balingup",560
"Ballajura",18952
"Bally Bally",153
"Bandy Creek",250
"Banjup",1402
"Banksia Grove",4718
"Barragup",806
"Baskerville",279
"Bassendean (WA)",9640
"Bateman",3737
"Baudin",0
"Baynton (WA)",2500
"Bayonet Head",2490
"Bayswater (WA)",13525
"Beachlands",1464
"Beacon",187
"Beaconsfield (WA)",4649
"Beckenham",6625
"Bedford",4944
"Bedfordale",2239
"Beechboro",13997
"Beeliar",5869
"Bejoording",301
"Beldon",3991
"Belhus",266
"Bellevue (WA)",1452
"Belmont (WA)",6263
"Bencubbin",294
"Bentley (WA)",9302
"Beresford",1421
"Bertram",5118
"Beverley (WA)",1147
"Bibra Lake",5954
"Bickley",707
"Bicton",6349
"Big Grove",273
"Bilingurr",318
"Bindi Bindi",225
"Bindoon",1063
"Binningup",1010
"Bluff Point",1337
"Boddington",1908
"Bolgart",248
"Bonniefield",425
"Boodarie",1162
"Booragoon",5461
"Boranup",8
"Boulder",5359
"Bouvard",821
"Bovell",389
"Bowes",276
"Boya",639
"Boyanup",1264
"Boyup Brook",886
"Bremer Bay",571
"Brentwood (WA)",1917
"Bridgetown",2733
"Brigadoon",651
"Broadwater (WA)",3703
"Broadwood",810
"Brockman",1127
"Brookdale (WA)",2476
"Brookhampton",339
"Brookton",935
"Broome",4290
"Broomehill East",276
"Broomehill Village",233
"Broomehill West",286
"Brown Range",221
"Bruce Rock",721
"Brunswick (WA)",1218
"Bulgarra",3455
"Bull Creek (WA)",7541
"Bullaring",238
"Bullfinch",378
"Bullsbrook",4326
"Bunbury (WA)",3629
"Bunjil",720
"Buntine",237
"Burekup",520
"Burns Beach",1607
"Burracoppin",237
"Burrup",78
"Burswood",2029
"Busselton",1715
"Butler (WA)",9653
"Byford",7034
"Cable Beach",5158
"Cadoux",304
"Calingiri",332
"Calista",1937
"Camballin",556
"Camillo",4570
"Canna",240
"Canning Mills",9
"Canning Vale",30666
"Cannington",5275
"Cape Burney",456
"Capel",2201
"Carabooda",737
"Carbunup River",251
"Cardiff (WA)",237
"Cardup",972
"Carey Park",5039
"Carine",6480
"Carlisle",5959
"Carmel",714
"Carnamah",430
"Carnarvon",222
"Carramar (WA)",6605
"Carrarang",221
"Castletown",3816
"Casuarina (WA)",1400
"Catterick",245
"Caversham",2694
"Centennial Park (WA)",567
"Cervantes",461
"Chadwick",176
"Champion Lakes",683
"Changerup",159
"Chapman Hill",279
"Chidlow",1803
"Chittering",503
"Churchlands",2749
"City Beach",6354
"Clackline",331
"Claremont (WA)",7594
"Clarkson",11687
"Cloverdale",7272
"Cockburn Central",695
"College Grove",1484
"Collie (WA)",7961
"Collingwood Heights",684
"Collingwood Park (WA)",428
"Como (WA)",13399
"Condingup",438
"Connolly",3617
"Coodanup",3526
"Coogee (WA)",4142
"Cookernup",772
"Cooladar Hill",113
"Coolbellup",4917
"Coolbinia",1536
"Coolgardie (WA)",954
"Cooloongup",6746
"Coolup",362
"Coomalbidgup",256
"Coondle",656
"Coorow",161
"Coral Bay",255
"Corrigin",828
"Cosmo Newbery",74
"Cottesloe",7398
"Cowaramup",1131
"Craigie (WA)",5602
"Cranbrook (WA)",268
"Crawley",3108
"Cuballing",603
"Cue",228
"Cullacabardee",132
"Cundeelee",46
"Cunderdin",1043
"Currambine",6775
"Cuthbert",229
"Daglish",1494
"Dale",263
"Dalkeith",4258
"Dalwallinu",565
"Dalyellup",7109
"Dampier",1265
"Dampier Peninsula",1032
"Dandaragan",401
"Dangin",395
"Darch",6118
"Dardanup",429
"Dardanup West",657
"Darkan",490
"Darling Downs",1128
"Darlington (WA)",3524
"Davenport (WA)",10
"Dawesville",4299
"Deanmill",425
"Deepdale",675
"Denham",636
"Denmark",2280
"Derby (WA)",4865
"Dianella",22521
"Dingup",321
"Dinninup",342
"Djugun",2895
"Dongara",1352
"Donnybrook (WA)",2532
"Doubleview",7576
"Dowerin",370
"Drummond Cove",1152
"Dudley Park (WA)",5751
"Dumbarton",372
"Dumberning",250
"Dumbleyung",198
"Duncraig",15026
"Dunsborough",4005
"Durack (WA)",522
"Dwellingup",700
"Eagle Bay",123
"East Bunbury",4011
"East Cannington",4300
"East Carnarvon",871
"East Fremantle",6930
"East Perth",8185
"East Pingelly",328
"East Rockingham",113
"East Victoria Park",9030
"Eastbrook",279
"Eaton (WA)",8156
"Eden Hill",3509
"Edgewater",4531
"Elgin (WA)",255
"Elleker",354
"Ellenbrook",16284
"Embleton",2737
"Emu Point",300
"Eneabba",118
"Erskine (WA)",4100
"Esperance",2087
"Eucla",368
"Exmouth",2207
"Falcon",4666
"Ferguson (WA)",534
"Ferndale (WA)",4259
"Fimiston",0
"Fitzgerald River National Park",3
"Fitzroy Crossing",1144
"Floreat",7230
"Forest Grove (WA)",237
"Forrestdale",1063
"Forrestfield",11811
"Frankland River",354
"Fremantle",7669
"Furnissdale",1027
"Gabbadah",636
"Gap Ridge",1466
"Garden Island (WA)",513
"Gascoyne Junction",125
"Gascoyne River",118
"Gelorup",2181
"Geographe",3206
"Geraldton",3462
"Gibson",445
"Gibson Desert North",303
"Gibson Desert South",302
"Gidgegannup",2533
"Gilgering",259
"Gingin",743
"Ginginup",266
"Girrawheen",8334
"Gledhow",939
"Glen Forrest",2883
"Glen Iris (WA)",2882
"Glendalough",2203
"Glenfield (WA)",642
"Gnangara",1191
"Gnarabup",350
"Gnowangerup",599
"Golden Bay",2176
"Goode Beach",221
"Goomalling",528
"Gooseberry Hill",3556
"Gosnells",19169
"Gracetown",474
"Grass Patch",492
"Grass Valley",197
"Green Head",256
"Greenbushes",375
"Greenfields",9939
"Greenmount (WA)",2475
"Greenough",369
"Greenwood (WA)",9611
"Greys Plain",192
"Guilderton",141
"Guildford (WA)",1882
"Gwelup",3924
"Halls Creek (WA)",1443
"Halls Head",13044
"Hamel",223
"Hamersley",4982
"Hamilton Hill",9855
"Hammond Park",2434
"Hannans",2483
"Harrisdale",3807
"Harvey",3268
"Hay (WA)",294
"Haynes",248
"Hazelmere",884
"Heathridge",6802
"Helena Valley",3017
"Henderson",14
"Henley Brook",2644
"Herdsman",3
"Herne Hill (WA)",1576
"Herron",429
"High Wycombe",11781
"Highbury (WA)",366
"Highgate (WA)",1941
"Hilbert",438
"Hillarys",10680
"Hillman",1894
"Hilton (WA)",3575
"Hines Hill",148
"Hocking",5509
"Hope Valley (WA)",108
"Hopeland (WA)",349
"Hopetoun (WA)",1398
"Horrocks",131
"Houtman Abrolhos",0
"Hovea",637
"Howatharra",337
"Huntingdale (WA)",8543
"Hyden",520
"Iluka (WA)",4561
"Inglewood (WA)",5503
"Innaloo",7648
"Irishtown (WA)",241
"Jalbarragup",272
"Jandabup",341
"Jandakot",2737
"Jane Brook",3138
"Jarrahdale",1082
"Jerdacuttup",341
"Jerramungup",480
"Jindalee (WA)",1180
"Jolimont",1200
"Joondalup",9197
"Joondanna",4566
"Julimar",366
"Jurien Bay",1507
"Kalamunda",6636
"Kalannie",206
"Kalbarri",1497
"Kalgan",603
"Kalgoorlie",4244
"Kallaroo",5151
"Kalumburu",467
"Kambalda East",857
"Kambalda West",1843
"Kangaroo Gully",500
"Karawara",2194
"Kardinya",8794
"Karlgarin",238
"Karlkurla",42
"Karloo",649
"Karnup",711
"Karragullen",449
"Karrakatta",9
"Karrakup",249
"Karratha",177
"Karratha Industrial Estate",504
"Karridale",405
"Karrinyup",8524
"Katanning",4183
"Kellerberrin",1186
"Kelmscott",10019
"Kendenup",985
"Kensington (WA)",4453
"Kenwick",5461
"Keralup",0
"Kewdale",6190
"Keysbrook",502
"Kiara",1793
"King Leopold Ranges",263
"King River",284
"Kingsford (WA)",327
"Kingsley",13218
"Kinross",7173
"Kojonup",1313
"Kondinin",281
"Konnongorring",461
"Koondoola",3897
"Koongamia",1001
"Koorda",268
"Kordabup",267
"Kronkup",467
"Kuender",226
"Kukerin",407
"Kulin",330
"Kulin West",281
"Kununurra",5525
"Kwinana Town Centre",19
"Lagrange",595
"Lake Austin",43
"Lake Clifton",406
"Lake Grace",499
"Lake King",332
"Lakelands (WA)",2923
"Lamington (WA)",2278
"Lancelin",606
"Landsdale",7480
"Lange",120
"Langford",5529
"Lathlain",3037
"Laverton (WA)",1023
"Leda",3357
"Ledge Point",207
"Leederville",2943
"Leeman",356
"Leeming",11093
"Leeuwin",0
"Leinster",1294
"Leonora",1216
"Leschenault",2819
"Lesley",0
"Lesmurdie",8045
"Little Grove",1270
"Lockridge",3566
"Lockyer (WA)",1150
"Lowden",266
"Lower Chittering",1558
"Lower King",1738
"Ludlow",265
"Lumeah (WA)",258
"Lynwood (WA)",3146
"Macleod (WA)",182
"Maddington",9985
"Madeley",5339
"Madora Bay",1721
"Mahogany Creek",831
"Mahomets Flats",863
"Maida Vale",4329
"Malaga",13
"Mandogalup",63
"Mandurah",7327
"Manjimup",4293
"Manmanning",305
"Manning",4017
"Manypeaks",275
"Marangaroo",10519
"Marbelup",275
"Marble Bar",512
"Mardella",303
"Mardie",1717
"Margaret River (WA)",6328
"Mariginiup",863
"Marmion",2163
"Marradong",128
"Martin",1163
"Marvel Loch",48
"Marybrook",276
"Mayanup",359
"Maylands (WA)",12353
"McKail",2936
"Meadow Springs",5920
"Meckering",265
"Medina",2077
"Meekatharra",812
"Meelon",224
"Meerup",491
"Melaleuca",4
"Melville (WA)",5199
"Menora",2675
"Menzies (WA)",180
"Merredin",2897
"Merriwa (WA)",5571
"Middle Swan",2704
"Middlesex (WA)",377
"Middleton Beach",652
"Midland",5110
"Midvale",1517
"Miling",241
"Millars Well",2197
"Millbridge",1265
"Millbrook (WA)",276
"Millendon",506
"Milpara",853
"Mindarie (WA)",7419
"Mingenew",275
"Minnenooka",235
"Minyirr",111
"Mira Mar",1682
"Mirrabooka (WA)",7933
"Mokine",279
"Molloy Island",354
"Monjingup",346
"Moonyoonooka",307
"Moora (WA)",1822
"Moorine Rock",164
"Morangup",931
"Morawa",655
"Moresby (WA)",771
"Morgantown",781
"Morley",20301
"Mosman Park (WA)",8598
"Mount Barker (WA)",2761
"Mount Burges",567
"Mount Claremont",4375
"Mount Clarence",669
"Mount Hardey",437
"Mount Hardman",376
"Mount Hawthorn",7357
"Mount Helena",3156
"Mount Lawley",10703
"Mount Lindesay (WA)",0
"Mount Magnet",532
"Mount Melville",1079
"Mount Nasura",2983
"Mount Pleasant (WA)",6496
"Mount Richon",2105
"Mount Romance",0
"Mount Tarcoola",3347
"Mount Walker (WA)",172
"Muchea",1018
"Muckenburra",501
"Mueller Ranges",409
"Mukinbudin",490
"Mulataga",4
"Mullaloo",5851
"Mullalyup",435
"Mullewa",533
"Mullingar",343
"Muluckine",308
"Mundaring",3011
"Mundijong",1429
"Munster",3476
"Muradup",248
"Murdoch",3325
"Myalup",399
"Myaree",1896
"Myrup",453
"Nabawa",324
"Nambeelup",512
"Nanga Brook",3
"Nannup",992
"Nanutarra",1710
"Napier",260
"Narembeen",460
"Narrikup",507
"Narrogin",4219
"Narrogin Valley",259
"Naval Base",10
"Nedlands",10184
"Neerabup",8
"Neergabby",237
"Neridup",249
"New Norcia",318
"Newcarlbeon",165
"Newdegate",304
"Newman",9087
"Ngaanyatjarra-Giles",793
"Nickol",4288
"Nilgen",388
"Nollamara",9888
"Noranda",8079
"Norseman",777
"North Beach (WA)",3091
"North Boyanup",317
"North Coogee",579
"North Dandalup",572
"North Fremantle",2724
"North Greenbushes",259
"North Lake",1264
"North Perth",8544
"North Plantations",355
"North West Cape",183
"North Yunderup",849
"Northam",6580
"Northampton",868
"Northbridge (WA)",1005
"Northcliffe",282
"Nowergup",212
"Nullagine",177
"Nulsen",1402
"Nungarin",230
"Nyabing",275
"O'Connor (WA)",318
"Oakford",2409
"Ocean Beach",990
"Ocean Reef",8108
"Oldbury",319
"Ongerup",248
"Onslow",667
"Oombulgurri",288
"Orana",2009
"Orange Grove (WA)",649
"Ord River",312
"Orelia",4679
"Osborne Park",4047
"Osmington",346
"Padbury",8366
"Pallinup",240
"Palmyra (WA)",6609
"Pannawonica",651
"Paraburdoo",1509
"Paradise (WA)",325
"Pardoo",806
"Parkerville",2228
"Parkeston",105
"Parklands (WA)",539
"Parkwood (WA)",6129
"Parmelia",6149
"Peaceful Bay",361
"Peak Hill (WA)",567
"Pearsall",2572
"Pegs Creek",1878
"Pelican Point (WA)",817
"Pemberton",1013
"Peppermint Grove",1529
"Peppermint Grove Beach",385
"Perenjori",184
"Peron",41
"Perth (WA)",9237
"Perth Airport",54
"Piara Waters",2593
"Piccadilly (WA)",2597
"Pickering Brook",561
"Picton East",513
"Piesse Brook",350
"Piesseville",257
"Pingaring",221
"Pingelly",840
"Pingrup",237
"Pinjarra",4254
"Pink Lake",710
"Pithara",257
"Plumridge Lakes",205
"Point Samson",298
"Popanyinning",266
"Porongurup",262
"Port Denison",1414
"Port Hedland",3771
"Port Kennedy",14105
"Preston Beach",218
"Preston Settlement",322
"Prevelly",177
"Quairading",648
"Quedjinup",316
"Queens Park (WA)",5380
"Quindalup",1105
"Quinninup",379
"Quinns Rocks",8902
"Ranford",184
"Rangeway",2261
"Ravensthorpe",391
"Ravenswood (WA)",1659
"Red Hill (WA)",98
"Redcliffe (WA)",4759
"Redmond",295
"Reinscourt",373
"Ridgewood (WA)",4007
"Riverton (WA)",5417
"Rivervale",8402
"Robinson",573
"Rockingham (WA)",14159
"Rocky Gully (WA)",369
"Roebourne",1410
"Roebuck",275
"Roelands",620
"Roleystone",6320
"Rosa Glen",330
"Rossmoyne",3358
"Rottnest Island",114
"Rudds Gully",506
"Safety Bay",7395
"Salmon Gums",160
"Salter Point",2677
"Samson",1905
"San Remo (WA)",884
"Sandstone",105
"Sawyers Valley",954
"Scarborough (WA)",14271
"Scotsdale",496
"Seabird",80
"Secret Harbour",10429
"Serpentine (WA)",2026
"Seville Grove",9217
"Shackleton",254
"Shadforth (WA)",513
"Shelley (WA)",4380
"Shenton Park",4350
"Shoalwater (WA)",3847
"Silver Sands",1241
"Sinagra",1787
"Sinclair",738
"Singleton (WA)",3010
"Somerville (WA)",3810
"Sorrento (WA)",7371
"South Boulder",1463
"South Bunbury",8174
"South Carnarvon",1039
"South Fremantle",2999
"South Guildford",2747
"South Hedland",9375
"South Kalgoorlie",4850
"South Kumminin",180
"South Lake",5972
"South Murchison",114
"South Perth",11990
"South Plantations",213
"South Tammin",236
"South Yilgarn",208
"South Yunderup",2235
"Southern Brook",193
"Southern Cross (WA)",842
"Southern River",5986
"Spalding (WA)",2319
"Spearwood",9096
"Spencer Park",3321
"Springfield (WA)",376
"St George Ranges",1080
"St James (WA)",4533
"Stake Hill",494
"Stirling (WA)",9157
"Stirling Range National Park",0
"Stoneville",2488
"Stove Hill",13
"Strathalbyn (WA)",1167
"Stratham",710
"Stratton",3485
"Sturt Creek",591
"Subiaco",8015
"Success",8511
"Sunset Beach",1210
"Swan View",8027
"Swanbourne",3508
"Tamala Park",0
"Tambellup",347
"Tammin",162
"Tanami (WA)",508
"Tapping",8946
"Tarcoola Beach",1373
"Tardun",181
"Telfer",1176
"Tenterden (WA)",459
"The Lakes",45
"The Spectacles",0
"The Vines",3138
"Thornlie",22965
"Three Springs",391
"Tom Price",5460
"Toodyay",1323
"Toolibin",196
"Torbay",336
"Torndirrup",358
"Trayning",348
"Trent",0
"Trigg",2664
"Tuart Hill",6706
"Tutunup",361
"Two Rocks",2242
"Uduc",255
"Upper Capel",269
"Upper Swan",562
"Usher",2193
"Utakarra",1292
"Vasse",1733
"Victoria Park",8539
"Victory Heights (WA)",908
"Vittoria (WA)",0
"Viveash",909
"Waggrakine",2363
"Wagin",1586
"Waikiki",11982
"Walkaway",287
"Walliston",933
"Walmsley",34
"Walpole",566
"Walyunga National Park",0
"Wandering",438
"Wandi",809
"Wandina",3128
"Wanerie",289
"Wangara",39
"Wannamal",284
"Wannanup",2769
"Wanneroo",11901
"Warburton (WA)",474
"Warmun",297
"Warnbro",11101
"Waroona",2736
"Warradarge",293
"Warrenup",581
"Warwick (WA)",3814
"Waterbank",343
"Waterford (WA)",2086
"Watermans Bay",1170
"Watheroo",189
"Wattle Grove (WA)",4119
"Wattleup",571
"Webberton",144
"Wedge Island",484
"Wedgefield",622
"Wellard",3246
"Wellstead",157
"Welshpool (WA)",17
"Wembley",10553
"Wembley Downs",5881
"West Beach (WA)",1446
"West Busselton",7932
"West End (WA)",481
"West Lamington",1422
"West Leederville",3806
"West Perth",5168
"West Pinjarra",397
"West Swan",1212
"West Toodyay",433
"Westminster",5175
"Westonia",277
"White Gum Valley",2734
"White Peak",353
"Whiteman",3
"Wickepin",260
"Wickham (WA)",1651
"Wilberforce (WA)",308
"Willagee",4768
"Willare",129
"Willetton",17392
"Williams",914
"Williamstown (WA)",130
"Willyung",409
"Wilson",5726
"Wiluna",1159
"Wilyabrup",429
"Windabout",3
"Winthrop",6204
"Witchcliffe",339
"Withers",3112
"Wokalup",438
"Wongan Hills",1127
"Wonthella",1714
"Woodanilling",419
"Woodbridge (WA)",1142
"Woodlands (WA)",3967
"Woodridge (WA)",584
"Woodvale (WA)",9202
"Wooroloo",2172
"Woorree",1199
"Wundowie",1281
"Wungong",229
"Wyalkatchem",522
"Wyndham (WA)",1003
"Yabberup",391
"Yakamia",2717
"Yalgoo",405
"Yallabatharra",213
"Yallingup",970
"Yallingup Siding",280
"Yalyalup",1213
"Yanchep",4247
"Yandanooka",206
"Yangebup",7125
"Yanmah",513
"Yarloop",482
"Yeagarup",248
"Yealering",293
"Yokine",10613
"York",2387
"Yornup",208
"Youngs Siding",321
